# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_Try2_model
# start_datetime = 2025-04-07 17:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_3.data.R
# init = 2 (Default)
# random
#   seed = 408891310 (Default)
# output
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-533.885,0.85519,0.0108195,10,1023,0,536.582,-1.5601,-1.99183,0.229468,-1.84589,-8.97515,31.8449,-0.253647,0.021995,0.00102065,0.613104,0.0154109,51,41,480.247
-533.011,0.879618,0.0109796,10,1023,0,538.997,-1.94307,-1.27289,1.64698,-1.76081,6.33717,38.7561,-1.03315,0.00284643,0.0908893,1.00292,0.0239193,51,41,265.885
-532.486,0.903789,0.0138608,10,1023,0,535.249,-1.71417,-1.96872,1.23464,-1.90269,9.63332,34.7774,0.544239,0.0142913,0.00391039,0.889525,0.00973064,51,41,699.666
-533.694,0.99829,0.00756948,10,1023,0,534.764,-1.82902,-1.83376,1.45404,-1.89738,15.2571,40.937,0.302107,0.00854895,0.0207795,0.949862,0.0102622,51,41,633.079
-533.694,0.163816,0.0264601,3,9,0,535.721,-1.82902,-1.83376,1.45404,-1.89738,15.2571,40.937,0.302107,0.00854895,0.0207795,0.949862,0.0102622,51,41,633.079
-532.592,0.999829,0.00390766,10,1023,0,536.227,-1.75666,-1.9769,0.74515,-1.74042,11.209,38.1227,-1.05993,0.0121671,0.00288753,0.754916,0.0259582,51,41,258.519
-533.824,0.983219,0.00844972,9,767,0,535.316,-1.91282,-1.9316,0.483842,-0.395812,9.57519,38.6366,-1.85104,0.00435904,0.00855038,0.683056,0.160419,51,41,40.9638
-533.311,0.992042,0.00807649,10,1023,0,536.077,-1.72531,-1.98632,0.537018,-0.835218,5.07768,40.0333,-1.77844,0.0137347,0.00171056,0.69768,0.116478,51,41,60.9278
-533.311,1.99754e-05,0.0492129,1,3,1,539.857,-1.72531,-1.98632,0.537018,-0.835218,5.07768,40.0333,-1.77844,0.0137347,0.00171056,0.69768,0.116478,51,41,60.9278
-533.311,4.18863e-181,0.156016,1,2,1,534.675,-1.72531,-1.98632,0.537018,-0.835218,5.07768,40.0333,-1.77844,0.0137347,0.00171056,0.69768,0.116478,51,41,60.9278
-533.461,0.983777,0.0108698,10,1023,0,538.387,-1.86373,-1.11699,1.17633,-1.92129,-217.201,-102.376,0.910427,0.00681338,0.110376,0.873492,0.00787082,51,41,800.368
-532.544,0.999845,0.00528677,10,1023,0,535.132,-1.90421,-1.84579,1.47871,-1.7362,-238.238,-133.357,-1.11196,0.00478936,0.0192761,0.956645,0.0263799,51,41,244.212
