# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_model
# start_datetime = 2025-04-04 14:51:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_1.data.R
# init = 2 (Default)
# random
#   seed = 141761547 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-994013,0.771451,0.664602,4,19,0,994017,1.99907,1.98178,-1.89167,1.99973,-640.85,1061.24,3.81992,0.999766,0.995444,0.0270825,0.999931,51,41,1600.48
-994021,0.910057,0.390104,4,15,0,994023,1.99899,1.65757,-1.99986,1.99975,-647.828,1062.68,3.81997,0.999748,0.914393,3.48048e-05,0.999937,51,41,1600.49
-994018,0.997688,0.59348,3,11,0,994023,1.9993,1.83404,-1.99956,1.99976,-648.331,1062.85,3.81998,0.999824,0.958511,0.000110571,0.99994,51,41,1600.49
-994016,0.884793,0.554443,2,7,0,994022,1.99831,1.94215,-1.99239,1.99999,-649.075,1062.52,3.81976,0.999578,0.985538,0.00190272,0.999998,51,41,1600.43
-994015,0.988508,0.62091,2,7,0,994019,1.99858,1.91141,-1.96281,2,-649.046,1062.13,3.81979,0.999645,0.977852,0.00929749,0.999999,51,41,1600.44
-994016,0.963948,0.522656,5,47,0,994017,1.9984,1.85431,-1.95452,1.99876,-662.45,1055.09,3.81983,0.9996,0.963578,0.0113703,0.99969,51,41,1600.45
-994016,1.23259e-05,1.78215,2,3,0,994020,1.9984,1.85431,-1.95452,1.99876,-662.45,1055.09,3.81983,0.9996,0.963578,0.0113703,0.99969,51,41,1600.45
-994014,0.999871,0.147822,5,31,0,994018,1.99946,1.93616,-1.90574,1.99999,-662.837,1054.68,3.81979,0.999864,0.98404,0.0235653,0.999997,51,41,1600.44
-994016,0.946208,0.366045,5,47,0,994024,1.99019,1.93422,-1.88591,1.99994,-664.683,1042.62,3.81988,0.997547,0.983555,0.028523,0.999985,51,41,1600.47
-994013,1,0.369834,3,7,0,994018,1.9993,1.846,-1.96545,1.99993,-664.284,1042.1,3.81951,0.999824,0.9615,0.00863667,0.999981,51,41,1600.36
-994015,0.86788,0.597686,4,23,0,994018,1.99978,1.94792,-1.94916,1.99997,-663.147,1047.87,3.81995,0.999944,0.98698,0.0127097,0.999993,51,41,1600.49
-994019,0.946294,0.38061,3,11,0,994022,1.99742,1.98768,-1.9813,1.99997,-663.186,1047.63,3.82,0.999355,0.99692,0.00467615,0.999993,51,41,1600.5
-994015,0.992698,0.645039,3,7,0,994020,1.99863,1.89861,-1.98344,1.99987,-663.081,1047.27,3.81999,0.999657,0.974652,0.00413959,0.999967,51,41,1600.5
-994015,0.882079,0.733172,3,7,0,994017,1.99899,1.97143,-1.79192,1.99996,-664.462,1045.11,3.81834,0.999748,0.992858,0.052021,0.999991,51,41,1600.04
-994015,1.45965e-05,1.51717,2,7,1,994019,1.99899,1.97143,-1.79192,1.99996,-664.462,1045.11,3.81834,0.999748,0.992858,0.052021,0.999991,51,41,1600.04
-994016,0.99242,0.136992,5,31,0,994019,1.99936,1.83505,-1.96112,1.99971,-666.236,1049.67,3.82,0.999841,0.958762,0.00972117,0.999927,51,41,1600.5
-994015,0.981853,0.240455,5,63,0,994021,1.99948,1.99394,-1.68313,1.99978,-672.187,1054.11,3.81995,0.999871,0.998486,0.0792183,0.999945,51,41,1600.49
-994016,0.959481,0.442438,10,1023,0,994021,1.99616,1.73113,-1.88004,1.99999,-1086.04,1019.52,3.81995,0.999039,0.932781,0.0299912,0.999997,51,41,1600.49
-994014,0.883148,0.66945,3,15,0,994019,1.9996,1.9923,-1.9465,1.99988,-1084.19,1021.38,3.8192,0.999901,0.998075,0.0133747,0.99997,51,41,1600.28
