# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrTransport_model
# start_datetime = 2024-06-04 13:08:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_1.data.R
# init = 2 (Default)
# random
#   seed = 3934747241 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,kin,theta.1,theta.2,theta.3,theta.4,theta.5
-1803.78,0.984655,0.00084306,3,7,0,1804.02,-1.62801,-1.66723,0.0358504,-0.151671,-1.64706,0.0102058,0.00728726,51.3936,40.4651,0.000476633
-1803.2,0.997851,0.00112626,6,127,0,1804.85,-1.59786,-1.66914,0.0101493,-0.175819,-1.65878,0.0109519,0.00724996,51.262,40.2637,0.000462433
-1803.74,0.9459,0.00203761,5,63,0,1805.13,-1.58419,-1.65759,0.0273698,-0.138102,-1.6641,0.0112902,0.00747555,51.3501,40.5782,0.00045599
-1802.59,0.938259,0.00326402,4,15,0,1804.87,-1.5854,-1.69602,0.0149994,-0.122762,-1.67661,0.0112602,0.00672506,51.2868,40.7062,0.000440826
-1801.92,0.998623,0.00291965,4,23,0,1803.45,-1.5746,-1.68939,0.0147399,-0.127475,-1.67502,0.0115276,0.00685457,51.2855,40.6669,0.000442759
-1801.92,0.00279306,0.00445838,2,5,0,1803.86,-1.5746,-1.68939,0.0147399,-0.127475,-1.67502,0.0115276,0.00685457,51.2855,40.6669,0.000442759
-1804.23,0.999196,0.00055497,7,127,0,1805.14,-1.58385,-1.72077,-0.0280342,-0.147085,-1.67986,0.0112985,0.0062417,51.0665,40.5033,0.00043689
-1805.23,0.991081,0.000721408,8,511,0,1808.2,-1.64989,-1.68341,0.0137254,-0.307459,-1.62868,0.00966436,0.00697121,51.2803,39.1658,0.000498912
-1806.8,0.999491,0.000913024,7,191,0,1809.65,-1.66381,-1.61654,0.054463,-0.147441,-1.60006,0.00931987,0.0082771,51.4889,40.5003,0.00053359
-1804.08,0.762115,0.00305421,5,55,0,1810.9,-1.65086,-1.68234,0.0452454,-0.24647,-1.62595,0.0096403,0.0069921,51.4417,39.6744,0.000502223
-1804.42,0.925237,0.00289979,5,31,0,1805.24,-1.64313,-1.66912,0.0528449,-0.24203,-1.63528,0.00983144,0.00725041,51.4806,39.7115,0.000490915
-1805.65,0.973947,0.00268436,5,31,0,1808.19,-1.5833,-1.64424,0.0107177,-0.226683,-1.64824,0.0113122,0.0077362,51.2649,39.8395,0.000475205
-1802.6,0.507503,0.00448608,4,15,0,1806.06,-1.63075,-1.65531,0.0363147,-0.227169,-1.63219,0.010138,0.00752008,51.3959,39.8354,0.000494657
-1803.85,0.974313,0.00266156,4,31,0,1805.57,-1.66131,-1.67523,0.0114222,-0.238616,-1.61977,0.00938164,0.00713098,51.2685,39.7399,0.000509705
-1802.42,0.766943,0.00349138,6,127,0,1804.84,-1.56578,-1.74919,-0.00482953,-0.0981739,-1.69938,0.0117459,0.00568671,51.1853,40.9112,0.000413237
-1802.87,0.996562,0.00317584,5,31,0,1803.38,-1.54336,-1.74883,-0.0185836,-0.106949,-1.70356,0.0123005,0.00569372,51.1149,40.838,0.000408169
-1802.13,0.996423,0.00164702,6,127,0,1803.94,-1.54822,-1.74829,-0.0057516,-0.0524535,-1.70534,0.0121804,0.00570427,51.1806,41.2925,0.000406014
-1803.11,0.710926,0.00350467,3,15,0,1805.05,-1.55756,-1.75827,-0.00105961,-0.0512807,-1.70436,0.0119493,0.0055095,51.2046,41.3023,0.000407204
-1802.35,0.975084,0.00180682,6,95,0,1807.41,-1.57107,-1.68304,0.0168141,-0.137413,-1.67258,0.011615,0.00697847,51.2961,40.584,0.000445719
-1802.61,0.318673,0.00482427,2,7,1,1806.67,-1.56958,-1.67297,0.0165729,-0.147012,-1.67073,0.0116518,0.00717509,51.2949,40.5039,0.000447954
-1803.02,0.921283,0.00235996,5,63,0,1803.61,-1.57071,-1.66949,0.0143556,-0.144864,-1.67124,0.0116238,0.00724306,51.2835,40.5218,0.000447338
-1803.73,0.947753,0.00248967,5,63,0,1807.03,-1.63479,-1.64404,0.0275752,-0.100438,-1.63412,0.010038,0.0077401,51.3512,40.8923,0.000492314
-1805.23,0.671079,0.0023354,6,63,0,1809.84,-1.64753,-1.6433,0.0204814,-0.198065,-1.62512,0.00972265,0.00775454,51.3149,40.0781,0.000503229
-1806.17,0.969838,0.00158969,6,111,0,1807.78,-1.62259,-1.64157,0.0167872,-0.145436,-1.62921,0.0103399,0.00778832,51.296,40.5171,0.000498263
-1806.68,0.998449,0.00160275,3,15,0,1807.82,-1.62726,-1.62891,0.0197346,-0.148225,-1.63583,0.0102243,0.00803556,51.311,40.4938,0.000490244
-1803.85,0.995641,0.00255714,5,55,0,1807.78,-1.64358,-1.70833,0.044437,-0.251804,-1.64087,0.00982037,0.00648467,51.4375,39.63,0.000484135
-1803.85,3.18408e-05,0.00497394,1,3,0,1804.93,-1.64358,-1.70833,0.044437,-0.251804,-1.64087,0.00982037,0.00648467,51.4375,39.63,0.000484135
-1804.66,0.97856,0.00114314,6,127,0,1808.95,-1.59555,-1.6836,0.0655704,-0.301575,-1.65296,0.0110091,0.00696759,51.5457,39.2149,0.000469492
-1808.29,0.985768,0.00101454,7,127,0,1811.67,-1.60786,-1.78162,0.00253946,-0.249407,-1.68188,0.0107044,0.00505343,51.223,39.6499,0.000434444
-1803.39,0.996195,0.000924032,7,255,0,1810.41,-1.55913,-1.70079,0.034677,-0.144344,-1.68674,0.0119104,0.00663192,51.3875,40.5262,0.000428562
-1803.47,0.702048,0.00332552,4,15,0,1805.84,-1.56092,-1.68333,0.0421503,-0.151777,-1.67724,0.0118661,0.00697294,51.4258,40.4642,0.000440071
-1804.39,0.999936,0.00261692,5,63,0,1805.42,-1.57814,-1.77391,-0.000267444,-0.186903,-1.69717,0.0114399,0.00520412,51.2086,40.1712,0.000415914
-1805.16,0.997559,0.00190405,5,31,0,1805.65,-1.58137,-1.78732,0.00670388,-0.188803,-1.7008,0.01136,0.00494222,51.2443,40.1554,0.000411523
-1803.92,0.966494,0.00236419,6,127,0,1805.9,-1.55892,-1.69653,0.0426761,-0.219023,-1.68009,0.0119157,0.00671501,51.4285,39.9033,0.000436618
-1803.92,8.44641e-12,0.00495451,1,3,1,1808.35,-1.55892,-1.69653,0.0426761,-0.219023,-1.68009,0.0119157,0.00671501,51.4285,39.9033,0.000436618
-1804.48,0.996445,0.00124011,5,31,0,1804.76,-1.55046,-1.69099,0.0413107,-0.215181,-1.68167,0.012125,0.00682329,51.4215,39.9354,0.000434705
-1803.84,0.99981,0.00135308,6,63,0,1805.22,-1.59785,-1.75686,0.0202846,-0.228101,-1.6823,0.0109522,0.00553706,51.3139,39.8276,0.000433939
-1806.81,0.926708,0.00111267,7,159,0,1809.91,-1.65391,-1.6125,0.0500898,-0.289576,-1.60361,0.00956468,0.00835604,51.4665,39.3149,0.000529288
-1805.44,0.992623,0.00228266,7,127,0,1808.76,-1.62547,-1.70976,-0.0231493,-0.105309,-1.65665,0.0102685,0.00645666,51.0915,40.8517,0.000465023
-1803.77,0.913997,0.00235297,7,191,0,1807.45,-1.61584,-1.65478,0.00715098,-0.221114,-1.63797,0.0105069,0.00753035,51.2466,39.8859,0.000487651
-1803.77,0.00140348,0.00455407,5,47,0,1805.46,-1.61584,-1.65478,0.00715098,-0.221114,-1.63797,0.0105069,0.00753035,51.2466,39.8859,0.000487651
-1804.15,0.33341,0.214536,1,3,0,1805.84,-1.60968,-1.66299,0.00241905,-0.230702,-1.64347,0.0106594,0.00736997,51.2224,39.8059,0.000480995
-1804.15,2.24623e-29,0.480862,1,3,1,1805.69,-1.60968,-1.66299,0.00241905,-0.230702,-1.64347,0.0106594,0.00736997,51.2224,39.8059,0.000480995
-1802.69,0.985403,0.050105,6,127,0,1805.63,-1.60233,-1.71786,0.0337503,-0.226152,-1.67008,0.0108412,0.00629864,51.3828,39.8439,0.000448748
