x1,x2,x3,x4
0.000170675,2.85004e-6,50.1084,54.8715
0.000169753,2.53607e-6,50.0929,54.7887
0.000170174,1.50599e-6,50.0877,54.7043
0.000169955,1.42847e-6,50.1314,54.6657
0.000170129,5.46546e-6,50.1731,55.0492
0.000170723,4.00089e-6,50.1566,55.0852
0.000172319,6.67376e-6,50.1444,54.7695
0.000170112,9.52955e-6,50.1177,54.8038
0.000170646,7.58801e-6,50.1997,54.5153
0.000170652,8.61526e-6,50.1221,54.7223
0.000170433,1.13477e-6,50.1291,54.783
0.000170654,1.05022e-6,50.1157,54.7927
0.00016805,7.51537e-7,49.9334,54.901
0.000167901,9.03028e-7,49.9355,54.8855
0.000168004,3.91169e-7,49.9347,54.957
0.000167786,1.69693e-7,49.9354,54.9884
0.000167766,3.32094e-7,49.9372,54.9432
0.000166863,5.65313e-7,49.9356,54.922
0.000166845,5.35804e-7,49.9633,55.1879
0.000166845,5.35804e-7,49.9633,55.1879
0.000167158,6.68871e-7,49.9594,55.2632
0.000167362,2.15378e-6,49.9484,55.2493
0.000167451,3.85071e-6,49.9657,55.344
0.000167186,3.7635e-6,49.8544,55.6404
0.000167066,2.37884e-6,49.8473,55.5596
0.00016731,2.1094e-6,49.8972,56.0214
0.000167318,4.54036e-6,49.8983,56.039
0.00016624,3.83831e-6,49.9356,55.6806
0.000166285,3.73004e-6,49.9693,55.5078
0.000168307,1.32098e-6,49.9592,55.5881
0.000168298,2.13077e-6,49.9824,55.4826
0.000167691,6.41999e-7,50.0421,55.8278
0.000167687,7.51662e-7,50.027,55.7041
0.000167773,3.99116e-7,50.0278,55.8364
0.000166944,1.93394e-6,50.1437,55.265
